OUTPUT FOR RE-WEIGHTED WEIGHTS:

output for rbf kernel for all c and gamma :

c= 0.125 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.35714285714285715
c= 0.25 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.35714285714285715
c= 0.5 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.35714285714285715
c= 1 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.35714285714285715
c= 2 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.35714285714285715
c= 4 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.35714285714285715
c= 8 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.35714285714285715
c= 16 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.35714285714285715
c= 32 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.35714285714285715
c= 64 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.35714285714285715
c= 128 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.35714285714285715
c= 256 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.42857142857142855
c= 512 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.5333333333333333
c= 1024 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.5
c= 0.03125 ;gamma= 0.0001220703125 coeff 1 ;score= 0.35714285714285715
c= 0.0625 ;gamma= 0.0001220703125 coeff 1 ;score= 0.35714285714285715
c= 0.125 ;gamma= 0.0001220703125 coeff 1 ;score= 0.35714285714285715
c= 0.25 ;gamma= 0.0001220703125 coeff 1 ;score= 0.35714285714285715
c= 0.5 ;gamma= 0.0001220703125 coeff 1 ;score= 0.35714285714285715
c= 1 ;gamma= 0.0001220703125 coeff 1 ;score= 0.35714285714285715
c= 2 ;gamma= 0.0001220703125 coeff 1 ;score= 0.35714285714285715
c= 4 ;gamma= 0.0001220703125 coeff 1 ;score= 0.35714285714285715
